company_name,url,revenue_class
東急不動産ホールディングス株式会社,https://www.tokyu-fudosan-hd.co.jp/,A
ダイワボウホールディングス株式会社,https://www.daiwabo-holdings.com/ja/ir.html,A
株式会社ゼンショーホールディングス,https://www.zfhd.co.jp/,A
コニカミノルタ株式会社,https://research.konicaminolta.com/jp/,A
富士電機株式会社,https://www.mt-fuji.gr.jp/,A
岡谷鋼機株式会社,https://www.okaya.co.jp/,A
株式会社　りそなホールディングス,https://www.resona-gr.co.jp/,A
阪急阪神ホールディングス株式会社,https://www.hhp.co.jp/,A
マルハニチロ株式会社,https://reishoku.umios.com/products/,A
エア・ウォーター株式会社,https://awmi.co.jp/,A
住友重機械工業株式会社,https://shi-mh.co.jp/,A
東ソー株式会社,https://www.tosoh.co.jp/,A
株式会社マツキヨココカラ＆カンパニー,https://www.matsukiyococokara.com/,A
豊田合成株式会社,https://tg-hinode.jp/,A
株式会社キーエンス,https://www.keyence.co.jp/,A
東急株式会社,https://tokyugroup.jp/,A
ＤＩＣ株式会社,https://www.dic-global.com/ja/,A
兼松株式会社,https://www.kanenavi.jp/,A
川崎汽船株式会社,https://www.kline.co.jp/ja/index.html,A
テルモ株式会社,https://www.e-terumo.jp/,A
マクニカホールディングス株式会社,https://holdings.macnica.co.jp/,A
住友不動産株式会社,https://www.sumitomo-rd.co.jp/,A
日東電工株式会社,http://210denko.co.jp/,A
株式会社コスモス薬品,https://www.cosmospc.co.jp/,A
ヤマエグループホールディングス株式会社,https://www.yamaeglobal.com/,A
帝人株式会社,https://www.teijin.com/,A
株式会社ＵＡＣＪ,https://umpj.co.jp/,A
オリンパス株式会社,https://jp.omsystem.com/,A
レンゴー株式会社,http://rengo-pb.jp/,A
アルプスアルパイン株式会社,https://www.alpsalpine.com/j/,A
伊藤ハム米久ホールディングス株式会社,https://www.itoham.co.jp/,A
株式会社あらた,https://www.arata-gr.jp/,A
株式会社フジクラ,https://www.fujikura.co.jp/,A
株式会社ビックカメラ,https://www.biccamera.co.jp/,A
株式会社資生堂,https://corp.shiseido.com/,A
株式会社荏原製作所,https://www.ebara.com/jp-ja/,A
株式会社博報堂ＤＹホールディングス,https://www.hakuhodody-one.co.jp/,A
ユニ・チャーム株式会社,https://www.unicharm.co.jp/ja/home.html,A
長瀬産業株式会社,https://www.nagase.co.jp/,A
株式会社ニトリホールディングス,https://www.nitori.co.jp/,A
伊藤忠エネクス株式会社,https://enexhl.jp/,A
東洋製罐グループホールディングス株式会社,https://www.tskg-hd.com/,A
株式会社小糸製作所,https://www.koito.co.jp/,A
北海道電力株式会社,https://www.hepco.co.jp/,A
株式会社西武ホールディングス,https://minkabu.jp/stock/9024,A
太平洋セメント株式会社,https://www.taiheiyo-cement.co.jp/,A
コカ・コーラボトラーズジャパンホールディングス株式会社,https://www.ccbji.co.jp/news/,A
株式会社ニッスイ,https://www.nissui.co.jp/,A
岩谷産業株式会社,https://www.iwatani.co.jp/jpn/,A
スギホールディングス株式会社,https://www.sugi-net.jp/,A
ブラザー工業株式会社,https://global.brother/ja,A
株式会社サイバーエージェント,https://cyberace.co.jp/,A
ＨＯＹＡ株式会社,https://www.hoya.com/,A
北陸電力株式会社,https://www.rikuden.co.jp/,A
日揮ホールディングス株式会社,https://www.jgccc.com/,A
センコーグループホールディングス株式会社,https://www.senkogrouphd.co.jp/,A
株式会社バローホールディングス,https://valor.jp/company/,A
株式会社ノジマ,https://nojima-co.com/,A
株式会社日清製粉グループ本社,https://www.nisshin.com/,A
四国電力株式会社,https://www.yonden.co.jp/,A
株式会社ライフコーポレーション,https://www.lifecorp.jp/,A
インフロニア・ホールディングス株式会社,https://www.infroneer.com/jp/,A
株式会社ツルハホールディングス,https://www.tsuruha.co.jp/,A
日本板硝子株式会社,https://nsgss.co.jp/,A
