company_name,url,revenue_class
エア・ウォーター株式会社,https://www.awi.co.jp/ja/index.html,A
住友重機械工業株式会社,https://www.shi.co.jp/index.html,A
東ソー株式会社,https://www.tosoh.co.jp/,A
株式会社マツキヨココカラ＆カンパニー,https://www.matsukiyococokara.com/company/,A
豊田合成株式会社,https://www.toyoda-gosei.co.jp/,A
株式会社キーエンス,https://www.keyence.co.jp/company/,A
東急株式会社,https://www.tokyu.co.jp/company/,A
ＤＩＣ株式会社,https://www.dic-global.com/ja/,A
兼松株式会社,https://www.kanematsu.co.jp/,A
テルモ株式会社,https://www.terumo.co.jp/,A
マクニカホールディングス株式会社,https://holdings.macnica.co.jp/,A
住友不動産株式会社,https://www.sumitomo-rd.co.jp/,A
日東電工株式会社,https://www.nitto.com/jp/ja/about_us/,A
株式会社コスモス薬品,https://www.cosmospc.co.jp/company/,A
ヤマエグループホールディングス株式会社,https://www.yamaegroup-hd.co.jp/,A
帝人株式会社,https://www.teijin.co.jp/,A
株式会社ＵＡＣＪ,https://www.uacj.co.jp/,B
オリンパス株式会社,https://www.olympus.co.jp/,B
レンゴー株式会社,https://www.rengo.co.jp/,B
アルプスアルパイン株式会社,https://www.alpsalpine.com/j/,B
伊藤ハム米久ホールディングス株式会社,https://www.itoham-yonekyu-holdings.com/,B
株式会社あらた,https://www.arata-gr.jp/,B
株式会社フジクラ,https://www.fujikura.co.jp/company/,B
株式会社ビックカメラ,https://www.biccamera.co.jp/,B
株式会社資生堂,https://corp.shiseido.com/,B
株式会社荏原製作所,https://www.ebara.com/jp-ja/,B
株式会社博報堂ＤＹホールディングス,https://www.hakuhodody-holdings.co.jp/,B
ユニ・チャーム株式会社,https://www.unicharm.co.jp/ja/company.html,B
長瀬産業株式会社,https://www.nagase.co.jp/,B
株式会社ニトリホールディングス,https://www.nitorihd.co.jp/about_us/,B
伊藤忠エネクス株式会社,https://www.itcenex.com/ja/,B
東洋製罐グループホールディングス株式会社,https://www.tskg-hd.com/,B
株式会社小糸製作所,https://www.koito.co.jp/,B
株式会社西武ホールディングス,https://www.seibuholdings.co.jp/,B
太平洋セメント株式会社,https://www.taiheiyo-cement.co.jp/,B
コカ・コーラボトラーズジャパンホールディングス株式会社,https://www.ccbj-holdings.com/,B
株式会社ニッスイ,https://www.nissui.co.jp/,B
岩谷産業株式会社,https://www.iwatani.co.jp/jpn/company/,B
スギホールディングス株式会社,https://www.sugi-hd.co.jp/,B
ブラザー工業株式会社,https://www.brother.co.jp/corporate/,B
株式会社サイバーエージェント,https://www.cyberagent.co.jp/corporate/,B
ＨＯＹＡ株式会社,https://www.hoya.com/,B
北陸電力株式会社,https://www.rikuden.co.jp/,B
日揮ホールディングス株式会社,https://www.jgc.com/jp/,B
センコーグループホールディングス株式会社,https://www.senkogrouphd.co.jp/,B
株式会社バローホールディングス,https://valor.jp/company/,B
株式会社ノジマ,https://www.nojima.co.jp/corporation/,B
株式会社日清製粉グループ本社,https://www.nisshin.com/company/group/about/,B
四国電力株式会社,https://www.yonden.co.jp/,B
株式会社ライフコーポレーション,https://www.lifecorp.jp/company/,B
インフロニア・ホールディングス株式会社,https://www.infroneer.com/jp/,B
株式会社ツルハホールディングス,https://www.tsuruha-hd.co.jp/company/,B
日本板硝子株式会社,http://www.nsg.co.jp/ja-jp,B
稲畑産業株式会社,https://www.inabata.co.jp/,B
ＮＴＮ株式会社,https://www.ntn.co.jp/japan/,B
株式会社アシックス,https://corp.asics.com/jp/about_asics,B
株式会社クラレ,https://www.kuraray.com/jp-ja/,B
株式会社カネカ,https://www.kaneka.co.jp/,B
株式会社トライアルホールディングス,https://trial-holdings.inc/,B
株式会社サンドラッグ,https://www.sundrug.co.jp/company,B
オムロン株式会社,https://www.omron.com/jp/ja/about/,B
日本発條株式会社,https://www.nhkspg.co.jp/,B
ファナック株式会社,https://www.fanuc.co.jp/,B
日本精工株式会社,https://www.nsk.com/jp-ja/company/,B
ユナイテッド・スーパーマーケット・ホールディングス株式会社,https://www.usmh.co.jp/,B
ＳＭＣ株式会社,https://www.smcworld.com/ja-jp/,B
エーザイ株式会社,https://www.eisai.co.jp/index.html,B
株式会社　良品計画,https://www.ryohin-keikaku.jp/corporate,B
株式会社アドバンテスト,https://www.advantest.com/ja/,B
株式会社フジ,https://www.the-fuji.com/company/,B
日清食品ホールディングス株式会社,https://www.nissin.com/jp/company/,B
三菱瓦斯化学株式会社,https://www.mgc.co.jp/,B
株式会社エディオン,https://www.edion.co.jp/corporate,B
ＮＯＫ株式会社,https://www.nokgrp.com/,B
株式会社野村総合研究所,https://www.nri.com/jp/index.html,B
野村不動産ホールディングス株式会社,https://www.nomura-re-hd.co.jp/,B
株式会社マキタ,https://www.makita.co.jp/company/,B
株式会社ケーズホールディングス,https://www.ksdenki.co.jp/company/,B
セイノーホールディングス株式会社,https://www.seino.co.jp/seino/shd/,B
五洋建設株式会社,https://www.penta-ocean.co.jp/,B
ヒューリック株式会社,https://www.hulic.co.jp/,B
ＴＯＴＯ株式会社,https://jp.toto.com/company/,B
三井海洋開発株式会社,https://www.modec.com/jp/about/,B
株式会社ニコン,https://www.jp.nikon.com/,B
ＪＸ金属株式会社,https://www.jx-nmm.com/company/,B
三井金属鉱業株式会社,https://www.mitsui-kinzoku.com/,B
キッコーマン株式会社,https://www.kikkoman.com/jp/,B
フタバ産業株式会社,https://futabasangyo.com/,B
株式会社きんでん,https://www.kinden.co.jp/,B
株式会社ニチレイ,https://www.nichirei.co.jp/corpo,B
伊藤忠食品株式会社,https://www.itochu-shokuhin.com/,B
みずほリース株式会社,https://www.mizuho-ls.co.jp/ja/index.html,B
名古屋鉄道株式会社,https://www.meitetsu.co.jp/profile/,B
株式会社光通信,https://www.hikari.co.jp/,B
エイチ・ツー・オー　リテイリング株式会社,https://www.h2o-retailing.co.jp/ja/ir.html,B
キヤノンマーケティングジャパン株式会社,https://corporate.jp.canon/,B
株式会社オリエンタルランド,https://www.olc.co.jp/ja/company.html,B
ＤＯＷＡホールディングス株式会社,https://hd.dowa.co.jp/ja/index.html,B
芙蓉総合リース株式会社,https://www.fgl.co.jp/,B
シップヘルスケアホールディングス株式会社,https://www.shiphd.co.jp/,B
株式会社関電工,https://www.kandenko.co.jp/company/,B
不二製油株式会社,https://www.fujioil.co.jp/,B
エクシオグループ株式会社,https://www.exeo.co.jp/,B
